problem_cuid,description,assignment_cuid
cmfpr6h2y000txkto1qub89gv,Ratione antea caute victus compello commodo ait.,cmfpr6gtw000pxktoqnb7ckqv
cmfpr6h5g000uxktotk2zevou,Voluptas decimus odio deripio.,cmfpr6gtw000pxktoqnb7ckqv
cmfpr6h7s000vxktotqu6e3sd,Est torrens correptius quo cohibeo.,cmfpr6gtw000pxktoqnb7ckqv
cmfpr6ha5000wxkto1rkh3zl1,Valeo optio accusator amor saepe vesica.,cmfpr6gtw000pxktoqnb7ckqv
cmfpr6i1l0015xktoqnoiexu3,Cribro alo acquiro cunabula perspiciatis strues maiores somniculosus sol.,cmfpr6gw2000qxktozqdsfo89
cmfpr6i3t0016xktoz62jojhv,Aestus coaegresco tripudio deserunt adopto astrum vix.,cmfpr6gw2000qxktozqdsfo89
cmfpr6i690017xktoqac44coe,Decor umbra approbo.,cmfpr6gw2000qxktozqdsfo89
cmfpr6i8e0018xktojs2kkhaf,Combibo thymbra cado cum arx curvo consequuntur verbera condico.,cmfpr6gw2000qxktozqdsfo89
cmfpr6iaw0019xkto4pp0g0h2,Clementia cogo laborum compello traho.,cmfpr6gw2000qxktozqdsfo89
cmfpr6idf001axkto9nd7cphd,Thesaurus universe inventore vinco censura texo.,cmfpr6gw2000qxktozqdsfo89
cmfpr6jbu001lxktojuuo9hnv,Molestias administratio comedo.,cmfpr6gyi000rxktotcljpsbl
cmfpr6je7001mxkto5dz5ybnf,Canis creber trucido cernuus adeptio vinum demum abduco delibero dapifer.,cmfpr6gyi000rxktotcljpsbl
cmfpr6jgk001nxktowcg7dskh,Arbor demonstro totidem sophismata adicio sui vivo facilis degenero adulescens.,cmfpr6gyi000rxktotcljpsbl
cmfpr6jin001oxktow6eq5vqm,Cur repellat repudiandae claudeo volup tenetur.,cmfpr6gyi000rxktotcljpsbl
cmfpr6jlb001pxktoj4lbnu8c,Ara adsuesco vergo utpote bellum vesco arceo supplanto rem.,cmfpr6gyi000rxktotcljpsbl
cmfpr6k9q001xxktoliblbz80,Derideo assentator arma cuius.,cmfpr6h0o000sxktokb5aly62
cmfpr6kc4001yxkto552dnqr4,Sollicito dolorem cotidie cinis bonus.,cmfpr6h0o000sxktokb5aly62
cmfpr6kec001zxktor0ykd4so,Libero apud avarus defessus copiose arcus video cupiditate demo civitas.,cmfpr6h0o000sxktokb5aly62
cmfpr6l5v0029xktow7ih8xyr,Aqua aperiam basium.,cmfpr6kys0026xktogpfp0m26
cmfpr6l8d002axktoeqfhj2l9,Confido bene nesciunt decumbo ratione creator aestas tristis auctor tondeo.,cmfpr6kys0026xktogpfp0m26
cmfpr6lan002bxktoih5ql6r3,Sordeo curso carus apud spargo stillicidium.,cmfpr6kys0026xktogpfp0m26
cmfpr6lcz002cxkto38uu1kwt,Animi theologus ademptio dolores aeternus qui spoliatio sufficio adulatio urbanus.,cmfpr6kys0026xktogpfp0m26
cmfpr6m0i002ixktod90s8t39,Fuga villa admoneo ultra arcus benevolentia aestivus denuncio.,cmfpr6kwk0025xktob3tzvv2u
cmfpr6m2x002jxktocrklutsi,Tolero iste ventito.,cmfpr6kwk0025xktob3tzvv2u
cmfpr6m58002kxktobuqzwj05,Distinctio trans nam.,cmfpr6kwk0025xktob3tzvv2u
cmfpr6m7h002lxkto32bndnvt,Vel voluptates trepide.,cmfpr6kwk0025xktob3tzvv2u
cmfpr6mpf002rxkto5dy67k3c,Cunabula copiose vinculum confero aggero.,cmfpr6l0y0027xkto0pd3app3
cmfpr6ms3002sxktojhrhvjej,Virtus texo tutamen vesper coruscus.,cmfpr6l0y0027xkto0pd3app3
cmfpr6muf002txktoxpkjn30n,Volutabrum tabula clibanus sit accusantium.,cmfpr6l0y0027xkto0pd3app3
cmfpr6mx4002uxkto7bm3adi5,Validus velum iusto ulterius infit facere verumtamen qui sequi.,cmfpr6l0y0027xkto0pd3app3
cmfpr6mza002vxkto89y1rxnd,Vereor voluptate denuncio vilitas crebro amo.,cmfpr6l0y0027xkto0pd3app3
cmfpr6n1s002wxktouqlfv889,Odio clamo viriliter esse chirographum caelestis tum totam laborum decor.,cmfpr6l0y0027xkto0pd3app3
cmfpr6nn50032xkto2pj6l0vh,Repudiandae tego coepi.,cmfpr6l370028xktonrhznq4i
cmfpr6npw0033xktol8opgksg,Solitudo demens animadverto vinculum solus certe.,cmfpr6l370028xktonrhznq4i
cmfpr6ntn0034xkto3nv9i6hq,Adimpleo approbo aliquid.,cmfpr6l370028xktonrhznq4i
cmfpr6p13003ixktoz9fj0ve8,Utrimque ait arca vespillo tabesco absorbeo in speciosus tracto.,cmfpr6otx003fxktoctgri7ab
cmfpr6p3h003jxkto2udjszqt,Cohaero consequuntur spiculum molestiae eveniet curis subvenio incidunt casus error.,cmfpr6otx003fxktoctgri7ab
cmfpr6p5v003kxktoy7o0ylgc,Colligo usitas suadeo itaque amitto apparatus arcesso amor velut.,cmfpr6otx003fxktoctgri7ab
cmfpr6pxe003txktoi62upcoq,Esse tandem capillus tepidus venia tempore.,cmfpr6ori003exkto616ds3xl
cmfpr6pzr003uxkto0qo2uhw0,Alo theatrum ambitus occaecati sui vinum adimpleo altus defetiscor laborum.,cmfpr6ori003exkto616ds3xl
cmfpr6q21003vxktoj3wl8ovt,Tener voluntarius vindico coepi defendo curiositas sed civitas.,cmfpr6ori003exkto616ds3xl
cmfpr6q4b003wxkto7rhm7jtv,Valeo desolo sint depereo caute subiungo.,cmfpr6ori003exkto616ds3xl
cmfpr6q6m003xxkto13xpr2h4,In sed suppellex cohaero ullus.,cmfpr6ori003exkto616ds3xl
cmfpr6q8y003yxkto34gdffhz,Atavus ultio vomito sperno.,cmfpr6ori003exkto616ds3xl
cmfpr6qur0045xktoedbs6mvj,Cui dolores cresco.,cmfpr6owe003gxkto7nh05hhm
cmfpr6qx70046xktotx47s85a,Aperte uterque corporis armarium vel cupressus adulatio verumtamen.,cmfpr6owe003gxkto7nh05hhm
cmfpr6qze0047xktofdbwgnf0,Attollo sit vobis ustilo vulgo.,cmfpr6owe003gxkto7nh05hhm
cmfpr6r1v0048xktobg96b0ko,Usus ara cupio velociter catena alius demergo celer pectus casso.,cmfpr6owe003gxkto7nh05hhm
cmfpr6r4i0049xktozxk9mywz,Sodalitas defero tres.,cmfpr6owe003gxkto7nh05hhm
cmfpr6rws004ixktodmyibp9t,Eaque animi campana.,cmfpr6oyp003hxktoy84nkwm5
cmfpr6rz5004jxktoa9odf1q3,Recusandae tabula verus deinde tabernus.,cmfpr6oyp003hxktoy84nkwm5
cmfpr6s1k004kxktojbab6fpd,Animadverto anser viduo demonstro cubitum vivo ara supellex vorago concedo.,cmfpr6oyp003hxktoy84nkwm5
cmfpr6s4g004lxktorykb4uf1,Vitium curis condico cursus corrupti tubineus vorax canis defetiscor annus.,cmfpr6oyp003hxktoy84nkwm5
cmfpr6s6m004mxkto11xfjvt7,Sumo cohaero aiunt talio.,cmfpr6oyp003hxktoy84nkwm5
cmfpr6szp004wxkto9z747zof,Quod subnecto depono abundans vitiosus mollitia commodo apparatus.,cmfpr6ssl004txktof7lk4pvt
cmfpr6t28004xxkto2bdxmww5,Caelestis depono et virga summopere non coniecto commemoro cetera aperiam.,cmfpr6ssl004txktof7lk4pvt
cmfpr6t56004yxktol0qr9cwi,Abduco xiphias astrum amoveo ambitus voluptatibus sollers.,cmfpr6ssl004txktof7lk4pvt
cmfpr6t7m004zxktocst2fwr8,Compello thorax corpus deleniti aveho capillus tumultus rerum cenaculum aperio.,cmfpr6ssl004txktof7lk4pvt
cmfpr6tt10056xkto4l028ccy,Peior creta teres antiquus vestrum coma tergiversatio.,cmfpr6sv2004uxktovng3sfm4
cmfpr6tvd0057xkto0e4xeg4e,Porro nisi arcesso talus coniecto.,cmfpr6sv2004uxktovng3sfm4
cmfpr6tzx0058xktomihegywo,Tenus triduana voluntarius vesper.,cmfpr6sv2004uxktovng3sfm4
cmfpr6uol005gxktoi11gq8un,Tamisium vel paulatim.,cmfpr6sx9004vxktonhw2xrco
cmfpr6uqx005hxktoz9752vis,Cimentarius audeo tabernus.,cmfpr6sx9004vxktonhw2xrco
cmfpr6ut6005ixktoidhqxdbr,Supplanto assentator laborum damnatio officiis sursum animadverto carcer cometes.,cmfpr6sx9004vxktonhw2xrco
cmfpr6uvk005jxktohnonmpxq,Expedita audeo tristis valens tumultus.,cmfpr6sx9004vxktonhw2xrco
cmfpr6uxu005kxktou4pjnp1v,Vomer casso iste agnitio bellum bardus cado.,cmfpr6sx9004vxktonhw2xrco
cmfpr6vpu005uxktoo5puyn5t,Delego aestivus tricesimus claustrum.,cmfpr6vi5005rxktoy5mwyrsa
cmfpr6vs9005vxkto6p1b2sp3,Vomer nam mollitia.,cmfpr6vi5005rxktoy5mwyrsa
cmfpr6vud005wxkto4qce5wmc,Tepesco pecco temperantia claro benevolentia ambitus apparatus soluta conturbo.,cmfpr6vi5005rxktoy5mwyrsa
cmfpr6vwj005xxkto3suqofjl,Harum iure vomer agnitio subiungo thymbra error.,cmfpr6vi5005rxktoy5mwyrsa
cmfpr6vz8005yxkto6cwygkr3,Curso deripio cultellus necessitatibus creber.,cmfpr6vi5005rxktoy5mwyrsa
cmfpr6wna0065xktozwezr11y,Commemoro canto deporto rem tendo.,cmfpr6vl6005sxkto2dq51qam
cmfpr6wpv0066xktoajrm1loz,Tutis amplexus utique tonsor volva collum vallum strenuus officiis.,cmfpr6vl6005sxkto2dq51qam
cmfpr6wss0067xkto3k8ls0ri,Corpus amiculum reprehenderit laboriosam sto alveus demum.,cmfpr6vl6005sxkto2dq51qam
cmfpr6wuy0068xkto7gm6i2r7,Cupio tutis certe candidus tenus.,cmfpr6vl6005sxkto2dq51qam
cmfpr6wxh0069xktoalnw2893,Rerum ciminatio celo cena officiis coadunatio demo caries.,cmfpr6vl6005sxkto2dq51qam
cmfpr6x06006axkton2al1vao,Casso tyrannus thymbra sufficio substantia aeternus.,cmfpr6vl6005sxkto2dq51qam
cmfpr6xoi006hxktoi1goadg2,Vulnus uberrime confido ratione atque voluptas adsidue.,cmfpr6vng005txktosii9fdd4
cmfpr6xrp006ixktoe5a0ae03,Deludo eaque vobis trans abbas cicuta vix crapula.,cmfpr6vng005txktosii9fdd4
cmfpr6xv6006jxktonffu9och,Aperiam bonus aliquam aggredior ulciscor appositus aliquam.,cmfpr6vng005txktosii9fdd4
cmfpr6xyw006kxktosdrlsgfe,Arto suasoria desidero soleo arbor nam commodo cotidie arceo validus.,cmfpr6vng005txktosii9fdd4